PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Kuzmin, AV; Pospelov, MN				Kuzmin, AV; Pospelov, MN			Retrieval of gravity-capillary spectrum parameters by means of microwave radiometric techniques	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING					8th Specialist Meeting on Microwave Radiometry and Remote Sensing Applications	FEB 24-27, 2004	Univ Rome La Sapienza, Engn Coll, Rome, ITALY		Univ Rome La Sapienza, Engn Coll																				0196-2892					MAY	2005	43	5					983	989		10.1109/TGRS.2005.845036								WOS:000228672800007						
J	Finkl, CW; Benedet, L; Andrews, JL				Finkl, CW; Benedet, L; Andrews, JL			Interpretation of seabed geomorphology based on spatial analysis of high-density airborne laser bathymetry	JOURNAL OF COASTAL RESEARCH																													0749-0208					MAY	2005	21	3					501	514		10.2112/05-756A.1								WOS:000229408900011						
J	Pegler, KH; Coleman, DJ; Pelot, RP; Zhang, Y				Pegler, KH; Coleman, DJ; Pelot, RP; Zhang, Y			Comparison of maximum distance metrics for use in the remote sensing of small targets	JOURNAL OF SURVEYING ENGINEERING-ASCE																Coleman, David/H-5972-2013	Coleman, David/0000-0001-6528-5148												0733-9453					MAY	2005	131	2					50	59		10.1061/(ASCE)0733-9453(2005)131:2(50)								WOS:000228743400004						
J	Grosse, G; Schirrmeister, L; Kunitsky, VV; Hubberten, HW				Grosse, G; Schirrmeister, L; Kunitsky, VV; Hubberten, HW			The use of CORONA images in remote sensing of periglacial geomorphology: An illustration from the NE Siberian Coast	PERMAFROST AND PERIGLACIAL PROCESSES																Schirrmeister, Lutz/O-5584-2015; Grosse, Guido/F-5018-2011	Schirrmeister, Lutz/0000-0001-9455-0596; Grosse, Guido/0000-0001-5895-2141												1045-6740					APR-JUN	2005	16	2					163	172		10.1002/ppp.509								WOS:000229979600002						
J	Etnoyer, P				Etnoyer, P			Seamount resolution in satellite-derived bathymetry	GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS																	Etnoyer, Peter/0000-0002-9932-3066												1525-2027					MAR 8	2005	6								Q03004	10.1029/2004GC000833								WOS:000227640500002						
J	Puygrenier, V; Lohou, F; Campistron, B; Said, F; Pigeon, G; Benech, B; Serca, D				Puygrenier, V; Lohou, F; Campistron, B; Said, F; Pigeon, G; Benech, B; Serca, D			Investigation on the fine structure of sea-breeze during ESCOMPTE experiment	ATMOSPHERIC RESEARCH																Serca, Dominique/I-2964-2016													0169-8095					MAR	2005	74	1-4					329	353		10.1016/j.atmosres.2004.06.011								WOS:000227503500015						
J	Bachmann, CM; Ainsworth, TL; Fusina, RA				Bachmann, CM; Ainsworth, TL; Fusina, RA			Exploiting manifold geometry in hyperspectral imagery	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING					IEEE Workshop on Advances in Techniques for Analysis of Remotely Sensed Data held in Honor of David A Landgrebe	OCT 27-28, 2003	NASA Goddard Space Flight Visitor Ctr, Greenbelt, MD	IEEE	NASA Goddard Space Flight Visitor Ctr																				0196-2892					MAR	2005	43	3					441	454		10.1109/TGRS.2004.842292								WOS:000227130000005						
J	Nirchio, F; Sorgente, M; Giancaspro, A; Biamino, W; Parisato, E; Ravera, R; Trivero, P				Nirchio, F; Sorgente, M; Giancaspro, A; Biamino, W; Parisato, E; Ravera, R; Trivero, P			Automatic detection of oil spills from SAR images	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					MAR	2005	26	6					1157	1174		10.1080/01431160512331326558								WOS:000228182500007						
J	Kunte, PD; Wagle, BG				Kunte, PD; Wagle, BG			The beach ridges of India: A review	JOURNAL OF COASTAL RESEARCH																													0749-0208					SPR	2005					42		174	183										WOS:000230629600020						
J	Tirkey, N; Biradar, RS; Pikle, M; Charatkar, S				Tirkey, Navrajan; Biradar, R. S.; Pikle, Madhavi; Charatkar, Sunit			A STUDY ON SHORELINE CHANGES OF MUMBAI COAST USING REMOTE SENSING AND GIS	PHOTONIRVACHAK-JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING																													0255-660X					MAR	2005	33	1					85	91										WOS:000207618200011						
J	Stanichny, S; Tigny, V; Stanichnaya, R; Djenidi, S				Stanichny, S; Tigny, V; Stanichnaya, R; Djenidi, S			Wind driven upwelling along the African coast of the Strait of Gibraltar	GEOPHYSICAL RESEARCH LETTERS																	Stanichny, Sergey/0000-0002-1033-5678; Stanichnaya, Rimma/0000-0001-5041-519X												0094-8276					FEB 18	2005	32	4							L04604	10.1029/2004GL021760								WOS:000227213100003						
J	Ma, JW; Han, XZ; Hasibagan; Wang, CL; Zhang, YL; Tang, JY; Xie, ZY; Deveson, T				Ma, JW; Han, XZ; Hasibagan; Wang, CL; Zhang, YL; Tang, JY; Xie, ZY; Deveson, T			Monitoring East Asian migratory locust plagues using remote sensing data and field investigations	INTERNATIONAL JOURNAL OF REMOTE SENSING																Bagan, Hasi/A-3975-2015	Bagan, Hasi/0000-0002-0471-7135												0143-1161					FEB 10	2005	26	3					629	634		10.1080/01431160310001595019								WOS:000226835700014						
