PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	D'Sa, EJ; Zaitzeff, JB; Steward, RG				D'Sa, EJ; Zaitzeff, JB; Steward, RG			Monitoring mater quality in Florida Bay with remotely sensed salinity and in situ bio-optical observations	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					MAR 10	2000	21	4					811	816		10.1080/014311600210605								WOS:000085390200015						
J	Dierssen, HM; Vernet, M; Smith, RC				Dierssen, HM; Vernet, M; Smith, RC			Optimizing models for remotely estimating primary production in Antarctic coastal waters	ANTARCTIC SCIENCE																													0954-1020					MAR	2000	12	1					20	32										WOS:000086625500004						
J	Cole, J				Cole, J			Coastal sea surface temperature and coho salmon production off the north-west United States	FISHERIES OCEANOGRAPHY																													1054-6006					MAR	2000	9	1					1	16		10.1046/j.1365-2419.2000.00118.x								WOS:000087552000001						
J	Gerstoft, P; Gingras, DF; Rogers, LT; Hodgkiss, WS				Gerstoft, P; Gingras, DF; Rogers, LT; Hodgkiss, WS			Estimation of radio refractivity structure using matched-field array processing	IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION																Gerstoft, Peter/B-2842-2009	Gerstoft, Peter/0000-0002-0471-062X												0018-926X					MAR	2000	48	3					345	356		10.1109/8.841895								WOS:000086890300001						
J	Dagallier, G; Laitinen, AI; Malartre, F; Van Campenhout, IPAM; Veeken, PCH				Dagallier, G; Laitinen, AI; Malartre, F; Van Campenhout, IPAM; Veeken, PCH			Ground penetrating radar application in a shallow marine Oxfordian limestone sequence located on the eastern flank of the Paris Basin, NE France	SEDIMENTARY GEOLOGY																													0037-0738					FEB	2000	130	3-4					149	165		10.1016/S0037-0738(99)00105-0								WOS:000085198300001						
J	Miles, NL; Verlinde, J; Clothiaux, EE				Miles, NL; Verlinde, J; Clothiaux, EE			Cloud droplet size distributions in low-level stratiform clouds	JOURNAL OF THE ATMOSPHERIC SCIENCES																Verlinde, Johannes/H-8351-2017	Verlinde, Johannes/0000-0002-9121-3110												0022-4928					JAN 15	2000	57	2					295	311		10.1175/1520-0469(2000)057<0295:CDSDIL>2.0.CO;2								WOS:000084885300009						
J	Hou, GT; Qian, XL; Wang, SY; Sun, J				Hou, GT; Qian, XL; Wang, SY; Sun, J			Possibility of the application of the ultra-long electromagnetic wave remote sensor to marine geological exploration	ACTA GEOLOGICA SINICA-ENGLISH EDITION					31st International Geological Congress on the Geology of China	2000	RIO JANEIRO, BRAZIL									Hou, Guiting/B-5395-2012													1000-9515						2000	74	2			SI		391	393										WOS:000088935900046						
J	Kolev, I; Skakalova, T; Grigorov, I				Kolev, I; Skakalova, T; Grigorov, I			Lidar measurement of the aerosol extinction profile in Black Sea coastal zone	ATMOSPHERIC ENVIRONMENT																													1352-2310						2000	34	22					3813	3822		10.1016/S1352-2310(00)00095-9								WOS:000088448800015						
J	Winokur, RS				Winokur, RS			SAR symposium keynote address	JOHNS HOPKINS APL TECHNICAL DIGEST																													0270-5214					JAN-MAR	2000	21	1					5	11										WOS:000085289300002						
J	Brown, RA				Brown, RA			Serendipity in the use of satellite scatterometer, SAR, and other sensor data	JOHNS HOPKINS APL TECHNICAL DIGEST																													0270-5214					JAN-MAR	2000	21	1					21	26										WOS:000085289300004						
